Borrowing.dependency,Total.assets.to.GNP.price,ROA.A..before.interest.and...after.tax,Accounts.Receivable.Turnover,Pre.tax.net.Interest.Rate,Net.Value.Per.Share..B.,Non.industry.income.and.expenditure.revenue,Net.worth.Assets,Total.Asset.Turnover,Cash.flow.rate,Revenue.per.person,Realized.Sales.Gross.Margin,Revenue.Per.Share..Yuan...,Cash.Total.Assets,Quick.Assets.Total.Assets,Liability.Assets.Flag,Cash.Turnover.Rate,Fixed.Assets.to.Assets,Cash.Flow.to.Liability,Equity.to.Liability,Inventory.Turnover.Rate..times.,class
0.37907838141911,0.0085438493411158,0.422208896641954,0.0094285453420307,0.796831256312648,0.142008343516919,0.30265972732979,0.851286392357227,0.0839580209895053,0.488643969703832,0.292789683180823,0.598358292855187,0.0111015321324319,0.0031692626056086,0.0244284914485191,0.0,250000000.0,0.348954603881412,0.458756429256669,0.0244933104212161,2250000000.0,1
0.380583694750192,0.0014217703966631,0.524040558220672,0.0005031803840808,0.797336337350418,0.159285322995238,0.303509782400887,0.793935362941017,0.12743628185907,0.462147404443774,0.0210331507131002,0.59465400193142,0.0342725774006685,0.0439454898186088,0.484530216892762,0.0,372000000.0,0.264909992067202,0.458149444479622,0.0166186655424238,986000000.0,1
0.379742687599394,0.0032524752911273,0.451264718709115,0.0019660556136061,0.796966968308828,0.154186507100417,0.303349536022685,0.848535235964567,0.0899550224887556,0.465705442741753,0.015463478401363,0.583541129160121,0.0143684680188151,0.0188506248270314,0.161574531573533,0.0,2030000000.0,0.559143963323496,0.448517911623987,0.0239823322073886,7130000000.0,1
0.387048937221948,0.0402355982057968,0.510902747492368,0.0010672293630101,0.797050664290162,0.157852597867768,0.303213217836703,0.803005109290444,0.04047976011994,0.463314964394454,0.0124935740199462,0.604397584283429,0.0099974288004597,0.0023573058369851,0.105910713896267,0.0,596000000.0,0.170379949286276,0.458936451127896,0.0175670860471285,252000000.0,1
0.377218547786429,0.0061909208828447,0.511665939816834,0.000306371927404,0.797184162838901,0.175213855294762,0.30341286113745,0.873688665840312,0.0569715142428786,0.460115917230736,0.0145175741374499,0.592088384093169,0.0117065202595399,0.0045294835645218,0.402040088092183,0.0,882000000.0,0.351894541758151,0.459282055220499,0.029444909249669,0.0002782023314348,1
0.375070177125948,0.0005602370120159,0.445922372437854,0.0018037393606768,0.796854635851236,0.147486410180776,0.303058047135638,0.883181667019379,0.0599700149925038,0.454264697248014,0.0057253646284681,0.595799881808617,0.0058381354265922,0.0102922256643154,0.100451585161661,0.0,1690000000.0,0.411391754456253,0.455241408972669,0.032093584692096,4600000000.0,1
0.386358908748487,0.0211236539135583,0.493403837767117,0.0014912805737879,0.797232997023052,0.192280139901395,0.303303129831712,0.808749281978414,0.109445277361319,0.465940296754821,0.0162566279394269,0.59659983568515,0.0556740323971142,0.0610075520121141,0.212417726995088,0.0,5390000000.0,0.617489857467947,0.456544117984353,0.0182097110685717,7430000000.0,1
0.375170829577506,0.0006400616059755,0.48577191452246,0.000480861899303,0.797195645097498,0.159074628123551,0.303516066572581,0.853977083774224,0.103448275862069,0.459377804618236,0.0057224270375864,0.594668415514781,0.0170304157780904,0.0318533766479547,0.378208166028295,0.0,326000000.0,0.458075737305601,0.456330074218874,0.0250122090574803,9210000000.0,1
0.37748024416048,0.0072319622308867,0.539249890972525,0.001152445395798,0.797386831620148,0.177952888626691,0.303451774662171,0.867944493152341,0.0419790104947526,0.464348322051953,0.009350351776508,0.602076997362314,0.0090143230939092,0.0113818836371217,0.0770328755711296,0.0,3140000000.0,0.710597970712992,0.454211078718356,0.0280178108442471,7910000000.0,1
0.395615579210124,0.0020439398125371,0.526875272568687,0.450399196534548,0.797139340528237,0.182082508111753,0.303296120563284,0.782567947516401,0.0074962518740629,0.457680145609488,0.012537637883172,0.612851150924631,0.0037963004976027,0.0008906952577058,0.0376955121479723,0.0,1300000000.0,8320000000.0,0.45844342047444,0.0155407643559905,95500000.0,1
